Transaction,State,Date,Product,"Wholesale
Price",Units Sold,Product Code,Sales,Month,Year
2.02E+11,Victoria,02/02/2018,Hook Tie Down System,240.45,6,TN139874-MD,1442.7,02-Feb,2018
2.02E+11,Queensland,03/02/2018,Storage Cabinets,61.425,8,SB038557-SM,491.4,02-Feb,2018
2.02E+11,Australian Capital Territory,04/02/2018,Hook Tie Down System,61.425,9,SB038557-SM,552.825,02-Feb,2018
2.02E+11,Northen Territory,05/02/2018,Spill Response Kit,588.2625,5,CR008525-LG,2941.3125,02-Feb,2018
2.02E+11,Queensland,06/02/2018,Viper Earmuffs,289.0965,6,CR064824-SM,1734.579,02-Feb,2018
2.02E+11,Tasmania,07/02/2018,Mineral Absorbent,68.25,6,HL880079-LG,409.5,02-Feb,2018
2.02E+11,New South Wales,08/02/2018,Bio Waste Kit,240.45,5,TN139874-MD,1202.25,02-Feb,2018
2.02E+11,Victoria,09/02/2018,Spill Response Kit,61.425,9,SB038557-SM,552.825,02-Feb,2018
2.02E+11,Queensland,10/02/2018,Mineral Absorbent,240.45,6,TN139874-MD,1442.7,02-Feb,2018
2.02E+11,Australian Capital Territory,11/02/2018,Storage Cabinets,240.45,9,TN139874-MD,2164.05,02-Feb,2018
2.02E+11,Northen Territory,12/02/2018,Viper Earmuffs,189.525,6,BP459041-MD,1137.15,02-Feb,2018
2.02E+11,Queensland,13/02/2018,Bio Waste Kit,189.525,6,BP459041-MD,1137.15,02-Feb,2018
2.02E+11,Tasmania,14/02/2018,Hook Tie Down System,61.425,5,SB038557-SM,307.125,02-Feb,2018
2.02E+11,New South Wales,15/02/2018,Storage Cabinets,68.25,5,HL880079-LG,341.25,02-Feb,2018
2.02E+11,Victoria,16/02/2018,Hook Tie Down System,103.929,6,BP252933-SM,623.574,02-Feb,2018
2.02E+11,Queensland,17/02/2018,Spill Response Kit,68.25,6,HL880079-LG,409.5,02-Feb,2018
2.02E+11,Australian Capital Territory,18/02/2018,Viper Earmuffs,289.0965,6,CR064824-SM,1734.579,02-Feb,2018
2.02E+11,Northen Territory,19/02/2018,Mineral Absorbent,61.425,6,SB038557-SM,368.55,02-Feb,2018
2.02E+11,Queensland,20/02/2018,Bio Waste Kit,103.929,6,BP252933-SM,623.574,02-Feb,2018
2.02E+11,Tasmania,21/02/2018,Spill Response Kit,240.45,9,TN139874-MD,2164.05,02-Feb,2018
2.02E+11,New South Wales,22/02/2018,Mineral Absorbent,588.2625,5,CR008525-LG,2941.3125,02-Feb,2018
2.02E+11,Victoria,23/02/2018,Storage Cabinets,588.2625,5,CR008525-LG,2941.3125,02-Feb,2018
2.02E+11,Queensland,24/02/2018,Viper Earmuffs,61.425,9,SB038557-SM,552.825,02-Feb,2018
2.02E+11,Australian Capital Territory,25/02/2018,Bio Waste Kit,61.425,5,SB038557-SM,307.125,02-Feb,2018
2.02E+11,Northen Territory,26/02/2018,Hook Tie Down System,68.25,6,HL880079-LG,409.5,02-Feb,2018
2.02E+11,Queensland,27/02/2018,Storage Cabinets,61.425,7,SB038557-SM,429.975,02-Feb,2018
2.02E+11,Tasmania,28/02/2018,Hook Tie Down System,189.525,5,BP459041-MD,947.625,02-Feb,2018
2.02E+11,New South Wales,01/03/2018,Spill Response Kit,68.25,7,HL880079-LG,477.75,03-Mar,2018
2.02E+11,Victoria,02/03/2018,Viper Earmuffs,103.95,6,SB639038-MD,623.7,03-Mar,2018
2.02E+11,Queensland,03/03/2018,Mineral Absorbent,61.425,8,SB038557-SM,491.4,03-Mar,2018
2.02E+11,Australian Capital Territory,04/03/2018,Bio Waste Kit,189.525,6,BP459041-MD,1137.15,03-Mar,2018
2.02E+11,Northen Territory,05/03/2018,Spill Response Kit,68.25,7,HL880079-LG,477.75,03-Mar,2018
2.02E+11,Queensland,06/03/2018,Mineral Absorbent,61.425,6,SB038557-SM,368.55,03-Mar,2018
2.02E+11,Tasmania,07/03/2018,Storage Cabinets,61.425,5,SB038557-SM,307.125,03-Mar,2018
2.02E+11,New South Wales,08/03/2018,Viper Earmuffs,103.95,5,SB639038-MD,519.75,03-Mar,2018
2.02E+11,Victoria,09/03/2018,Bio Waste Kit,103.95,5,SB639038-MD,519.75,03-Mar,2018
2.02E+11,Queensland,10/03/2018,Hook Tie Down System,588.2625,6,CR008525-LG,3529.575,03-Mar,2018
2.02E+11,Australian Capital Territory,11/03/2018,Storage Cabinets,240.45,8,TN139874-MD,1923.6,03-Mar,2018
2.02E+11,Northen Territory,12/03/2018,Hook Tie Down System,289.0965,5,CR064824-SM,1445.4825,03-Mar,2018
2.02E+11,Queensland,13/03/2018,Spill Response Kit,588.2625,5,CR008525-LG,2941.3125,03-Mar,2018
2.02E+11,Tasmania,14/03/2018,Viper Earmuffs,588.2625,6,CR008525-LG,3529.575,03-Mar,2018
2.02E+11,New South Wales,15/03/2018,Mineral Absorbent,68.25,8,HL880079-LG,546,03-Mar,2018
2.02E+11,Victoria,16/03/2018,Bio Waste Kit,289.0965,6,CR064824-SM,1734.579,03-Mar,2018
2.02E+11,Queensland,17/03/2018,Spill Response Kit,68.25,8,HL880079-LG,546,03-Mar,2018
2.02E+11,Australian Capital Territory,18/03/2018,Mineral Absorbent,68.25,8,HL880079-LG,546,03-Mar,2018
2.02E+11,Northen Territory,19/03/2018,Storage Cabinets,35.6895,6,HL642216-MD,214.137,03-Mar,2018
2.02E+11,Queensland,20/03/2018,Viper Earmuffs,68.25,8,HL880079-LG,546,03-Mar,2018
2.02E+11,Tasmania,21/03/2018,Bio Waste Kit,289.0965,6,CR064824-SM,1734.579,03-Mar,2018
2.02E+11,New South Wales,22/03/2018,Hook Tie Down System,35.6895,6,HL642216-MD,214.137,03-Mar,2018
2.02E+11,Victoria,23/03/2018,Storage Cabinets,282.45,8,SB885432-XL,2259.6,03-Mar,2018
2.02E+11,Queensland,24/03/2018,Hook Tie Down System,282.45,9,SB885432-XL,2542.05,03-Mar,2018
2.02E+11,Australian Capital Territory,25/03/2018,Spill Response Kit,282.45,6,SB885432-XL,1694.7,03-Mar,2018
2.02E+11,Northen Territory,26/03/2018,Viper Earmuffs,289.0965,6,CR064824-SM,1734.579,03-Mar,2018
2.02E+11,Queensland,27/03/2018,Mineral Absorbent,35.6895,8,HL642216-MD,285.516,03-Mar,2018
2.02E+11,Tasmania,28/03/2018,Bio Waste Kit,289.0965,5,CR064824-SM,1445.4825,03-Mar,2018
2.02E+11,New South Wales,29/03/2018,Spill Response Kit,282.45,6,SB885432-XL,1694.7,03-Mar,2018
2.02E+11,Victoria,30/03/2018,Mineral Absorbent,189.525,5,BP459041-MD,947.625,03-Mar,2018
2.02E+11,Queensland,31/03/2018,Storage Cabinets,289.0965,6,CR064824-SM,1734.579,03-Mar,2018
2.02E+11,Australian Capital Territory,01/04/2018,Viper Earmuffs,68.25,5,HL880079-LG,341.25,04-Apr,2018
2.02E+11,Northen Territory,02/04/2018,Bio Waste Kit,68.25,8,HL880079-LG,546,04-Apr,2018
2.02E+11,Queensland,03/04/2018,Hook Tie Down System,289.0965,5,CR064824-SM,1445.4825,04-Apr,2018
2.02E+11,Tasmania,04/04/2018,Storage Cabinets,35.6895,5,HL642216-MD,178.4475,04-Apr,2018
2.02E+11,New South Wales,05/04/2018,Hook Tie Down System,35.6895,5,HL642216-MD,178.4475,04-Apr,2018
2.02E+11,Victoria,06/04/2018,Spill Response Kit,289.0965,5,CR064824-SM,1445.4825,04-Apr,2018
2.02E+11,Queensland,07/04/2018,Viper Earmuffs,68.25,6,HL880079-LG,409.5,04-Apr,2018
2.02E+11,Australian Capital Territory,08/04/2018,Mineral Absorbent,103.929,5,BP252933-SM,519.645,04-Apr,2018
2.02E+11,Northen Territory,09/04/2018,Bio Waste Kit,68.25,6,HL880079-LG,409.5,04-Apr,2018
2.02E+11,Queensland,10/04/2018,Spill Response Kit,282.45,5,SB885432-XL,1412.25,04-Apr,2018
2.02E+11,Tasmania,11/04/2018,Mineral Absorbent,103.95,7,SB639038-MD,727.65,04-Apr,2018
2.02E+11,New South Wales,12/04/2018,Storage Cabinets,35.6895,5,HL642216-MD,178.4475,04-Apr,2018
2.02E+11,Victoria,13/04/2018,Viper Earmuffs,189.525,6,BP459041-MD,1137.15,04-Apr,2018
2.02E+11,Queensland,14/04/2018,Bio Waste Kit,35.6895,7,HL642216-MD,249.8265,04-Apr,2018
2.02E+11,Australian Capital Territory,15/04/2018,Hook Tie Down System,289.0965,6,CR064824-SM,1734.579,04-Apr,2018
2.02E+11,Northen Territory,16/04/2018,Storage Cabinets,35.6895,5,HL642216-MD,178.4475,04-Apr,2018
2.02E+11,Queensland,17/04/2018,Hook Tie Down System,68.25,7,HL880079-LG,477.75,04-Apr,2018
2.02E+11,Tasmania,18/04/2018,Spill Response Kit,68.25,7,HL880079-LG,477.75,04-Apr,2018
2.02E+11,New South Wales,19/04/2018,Viper Earmuffs,35.6895,7,HL642216-MD,249.8265,04-Apr,2018
2.02E+11,Victoria,20/04/2018,Mineral Absorbent,35.6895,7,HL642216-MD,249.8265,04-Apr,2018
2.02E+11,Queensland,21/04/2018,Bio Waste Kit,289.0965,5,CR064824-SM,1445.4825,04-Apr,2018
2.02E+11,Australian Capital Territory,22/04/2018,Spill Response Kit,35.6895,5,HL642216-MD,178.4475,04-Apr,2018
2.02E+11,Northen Territory,23/04/2018,Mineral Absorbent,103.95,6,SB639038-MD,623.7,04-Apr,2018
2.02E+11,Queensland,24/04/2018,Storage Cabinets,282.45,9,SB885432-XL,2542.05,04-Apr,2018
2.02E+11,Tasmania,25/04/2018,Viper Earmuffs,282.45,9,SB885432-XL,2542.05,04-Apr,2018
2.02E+11,New South Wales,26/04/2018,Bio Waste Kit,282.45,5,SB885432-XL,1412.25,04-Apr,2018
2.02E+11,Victoria,27/04/2018,Hook Tie Down System,68.25,8,HL880079-LG,546,04-Apr,2018
2.02E+11,Queensland,28/04/2018,Storage Cabinets,103.95,6,SB639038-MD,623.7,04-Apr,2018
2.02E+11,Australian Capital Territory,29/04/2018,Hook Tie Down System,103.929,6,BP252933-SM,623.574,04-Apr,2018
2.02E+11,Northen Territory,30/04/2018,Spill Response Kit,189.525,5,BP459041-MD,947.625,04-Apr,2018
2.02E+11,Queensland,01/05/2018,Viper Earmuffs,289.0965,5,CR064824-SM,1445.4825,05-May,2018
2.02E+11,Tasmania,02/05/2018,Mineral Absorbent,103.95,5,SB639038-MD,519.75,05-May,2018
2.02E+11,New South Wales,03/05/2018,Bio Waste Kit,103.929,5,BP252933-SM,519.645,05-May,2018
2.02E+11,Victoria,04/05/2018,Spill Response Kit,189.525,6,BP459041-MD,1137.15,05-May,2018
2.02E+11,Queensland,05/05/2018,Mineral Absorbent,289.0965,6,CR064824-SM,1734.579,05-May,2018
2.02E+11,Australian Capital Territory,06/05/2018,Storage Cabinets,68.25,7,HL880079-LG,477.75,05-May,2018
2.02E+11,Northen Territory,07/05/2018,Viper Earmuffs,68.25,8,HL880079-LG,546,05-May,2018
2.02E+11,Queensland,08/05/2018,Bio Waste Kit,289.0965,5,CR064824-SM,1445.4825,05-May,2018
2.02E+11,Tasmania,09/05/2018,Hook Tie Down System,103.95,9,SB639038-MD,935.55,05-May,2018
2.02E+11,New South Wales,10/05/2018,Storage Cabinets,289.0965,5,CR064824-SM,1445.4825,05-May,2018
2.02E+11,Victoria,11/05/2018,Hook Tie Down System,68.25,8,HL880079-LG,546,05-May,2018
2.02E+11,Queensland,12/05/2018,Spill Response Kit,282.45,5,SB885432-XL,1412.25,05-May,2018
2.02E+11,Australian Capital Territory,13/05/2018,Viper Earmuffs,103.95,8,SB639038-MD,831.6,05-May,2018
2.02E+11,Northen Territory,14/05/2018,Mineral Absorbent,35.6895,7,HL642216-MD,249.8265,05-May,2018
2.02E+11,Queensland,15/05/2018,Bio Waste Kit,68.25,5,HL880079-LG,341.25,05-May,2018
2.02E+11,Tasmania,16/05/2018,Spill Response Kit,314.9895,6,BP110966-XL,1889.937,05-May,2018
2.02E+11,New South Wales,17/05/2018,Mineral Absorbent,68.25,6,HL880079-LG,409.5,05-May,2018
2.02E+11,Victoria,18/05/2018,Storage Cabinets,68.25,7,HL880079-LG,477.75,05-May,2018
2.02E+11,Queensland,19/05/2018,Viper Earmuffs,282.45,5,SB885432-XL,1412.25,05-May,2018
2.02E+11,Australian Capital Territory,20/05/2018,Bio Waste Kit,282.45,8,SB885432-XL,2259.6,05-May,2018
2.02E+11,Northen Territory,21/05/2018,Hook Tie Down System,282.45,9,SB885432-XL,2542.05,05-May,2018
2.02E+11,Queensland,22/05/2018,Storage Cabinets,282.45,8,SB885432-XL,2259.6,05-May,2018
2.02E+11,Tasmania,23/05/2018,Hook Tie Down System,289.0965,6,CR064824-SM,1734.579,05-May,2018
2.02E+11,New South Wales,24/05/2018,Spill Response Kit,289.0965,6,CR064824-SM,1734.579,05-May,2018
2.02E+11,Victoria,25/05/2018,Viper Earmuffs,68.25,5,HL880079-LG,341.25,05-May,2018
2.02E+11,Queensland,26/05/2018,Mineral Absorbent,282.45,7,SB885432-XL,1977.15,05-May,2018
2.02E+11,Australian Capital Territory,27/05/2018,Bio Waste Kit,289.0965,5,CR064824-SM,1445.4825,05-May,2018
2.02E+11,Northen Territory,28/05/2018,Spill Response Kit,282.45,8,SB885432-XL,2259.6,05-May,2018
2.02E+11,Queensland,29/05/2018,Mineral Absorbent,103.929,5,BP252933-SM,519.645,05-May,2018
2.02E+11,Tasmania,30/05/2018,Storage Cabinets,68.25,7,HL880079-LG,477.75,05-May,2018
2.02E+11,New South Wales,31/05/2018,Viper Earmuffs,189.525,6,BP459041-MD,1137.15,05-May,2018
2.02E+11,Victoria,01/06/2018,Bio Waste Kit,35.6895,5,HL642216-MD,178.4475,06-Jun,2018
2.02E+11,Queensland,02/06/2018,Hook Tie Down System,68.25,7,HL880079-LG,477.75,06-Jun,2018
2.02E+11,Australian Capital Territory,03/06/2018,Storage Cabinets,103.95,7,SB639038-MD,727.65,06-Jun,2018
2.02E+11,Northen Territory,04/06/2018,Hook Tie Down System,103.929,5,BP252933-SM,519.645,06-Jun,2018
2.02E+11,Queensland,05/06/2018,Spill Response Kit,289.0965,5,CR064824-SM,1445.4825,06-Jun,2018
2.02E+11,Tasmania,06/06/2018,Viper Earmuffs,189.525,6,BP459041-MD,1137.15,06-Jun,2018
2.02E+11,New South Wales,07/06/2018,Mineral Absorbent,68.25,5,HL880079-LG,341.25,06-Jun,2018
2.02E+11,Victoria,08/06/2018,Bio Waste Kit,68.25,6,HL880079-LG,409.5,06-Jun,2018
2.02E+11,Queensland,09/06/2018,Spill Response Kit,289.0965,5,CR064824-SM,1445.4825,06-Jun,2018
2.02E+11,Australian Capital Territory,10/06/2018,Mineral Absorbent,282.45,9,SB885432-XL,2542.05,06-Jun,2018
2.02E+11,Northen Territory,11/06/2018,Storage Cabinets,35.6895,6,HL642216-MD,214.137,06-Jun,2018
2.02E+11,Queensland,12/06/2018,Viper Earmuffs,35.6895,5,HL642216-MD,178.4475,06-Jun,2018
2.02E+11,Tasmania,13/06/2018,Bio Waste Kit,289.0965,6,CR064824-SM,1734.579,06-Jun,2018
2.02E+11,New South Wales,14/06/2018,Hook Tie Down System,35.6895,8,HL642216-MD,285.516,06-Jun,2018
2.02E+11,Victoria,15/06/2018,Storage Cabinets,289.0965,6,CR064824-SM,1734.579,06-Jun,2018
2.02E+11,Queensland,16/06/2018,Hook Tie Down System,35.6895,6,HL642216-MD,214.137,06-Jun,2018
2.02E+11,Australian Capital Territory,17/06/2018,Spill Response Kit,103.95,5,SB639038-MD,519.75,06-Jun,2018
2.02E+11,Northen Territory,18/06/2018,Viper Earmuffs,103.95,9,SB639038-MD,935.55,06-Jun,2018
2.02E+11,Queensland,19/06/2018,Mineral Absorbent,282.45,7,SB885432-XL,1977.15,06-Jun,2018
2.02E+11,Tasmania,20/06/2018,Bio Waste Kit,289.0965,6,CR064824-SM,1734.579,06-Jun,2018
2.02E+11,New South Wales,21/06/2018,Spill Response Kit,189.525,6,BP459041-MD,1137.15,06-Jun,2018
2.02E+11,Victoria,22/06/2018,Mineral Absorbent,189.525,6,BP459041-MD,1137.15,06-Jun,2018
2.02E+11,Queensland,23/06/2018,Storage Cabinets,289.0965,5,CR064824-SM,1445.4825,06-Jun,2018
2.02E+11,Australian Capital Territory,24/06/2018,Viper Earmuffs,282.45,8,SB885432-XL,2259.6,06-Jun,2018
2.02E+11,Northen Territory,25/06/2018,Bio Waste Kit,289.0965,5,CR064824-SM,1445.4825,06-Jun,2018
2.02E+11,Queensland,26/06/2018,Hook Tie Down System,289.0965,6,CR064824-SM,1734.579,06-Jun,2018
2.02E+11,Tasmania,27/06/2018,Storage Cabinets,68.25,8,HL880079-LG,546,06-Jun,2018
2.02E+11,New South Wales,28/06/2018,Hook Tie Down System,289.0965,6,CR064824-SM,1734.579,06-Jun,2018
2.02E+11,Victoria,29/06/2018,Spill Response Kit,289.0965,6,CR064824-SM,1734.579,06-Jun,2018
2.02E+11,Queensland,30/06/2018,Viper Earmuffs,103.929,6,BP252933-SM,623.574,06-Jun,2018
2.02E+11,Australian Capital Territory,01/07/2018,Mineral Absorbent,103.929,6,BP252933-SM,623.574,07-Jul,2018
2.02E+11,Northen Territory,02/07/2018,Bio Waste Kit,103.929,5,BP252933-SM,519.645,07-Jul,2018
2.02E+11,Queensland,03/07/2018,Spill Response Kit,289.0965,5,CR064824-SM,1445.4825,07-Jul,2018
2.02E+11,Tasmania,04/07/2018,Mineral Absorbent,189.525,6,BP459041-MD,1137.15,07-Jul,2018
2.02E+11,New South Wales,05/07/2018,Storage Cabinets,289.0965,5,CR064824-SM,1445.4825,07-Jul,2018
2.02E+11,Victoria,06/07/2018,Viper Earmuffs,289.0965,6,CR064824-SM,1734.579,07-Jul,2018
2.02E+11,Queensland,07/07/2018,Bio Waste Kit,289.0965,6,CR064824-SM,1734.579,07-Jul,2018
2.02E+11,Australian Capital Territory,08/07/2018,Hook Tie Down System,282.45,9,SB885432-XL,2542.05,07-Jul,2018
2.02E+11,Northen Territory,09/07/2018,Storage Cabinets,314.9895,5,BP110966-XL,1574.9475,07-Jul,2018
2.02E+11,Queensland,10/07/2018,Hook Tie Down System,103.95,6,SB639038-MD,623.7,07-Jul,2018
2.02E+11,Tasmania,11/07/2018,Spill Response Kit,282.45,6,SB885432-XL,1694.7,07-Jul,2018
2.02E+11,New South Wales,12/07/2018,Viper Earmuffs,282.45,9,SB885432-XL,2542.05,07-Jul,2018
2.02E+11,Victoria,13/07/2018,Mineral Absorbent,282.45,8,SB885432-XL,2259.6,07-Jul,2018
2.02E+11,Queensland,14/07/2018,Bio Waste Kit,289.0965,6,CR064824-SM,1734.579,07-Jul,2018
2.02E+11,Australian Capital Territory,15/07/2018,Spill Response Kit,35.6895,6,HL642216-MD,214.137,07-Jul,2018
2.02E+11,Northen Territory,16/07/2018,Mineral Absorbent,68.25,8,HL880079-LG,546,07-Jul,2018
2.02E+11,Queensland,17/07/2018,Storage Cabinets,68.25,5,HL880079-LG,341.25,07-Jul,2018
2.02E+11,Tasmania,18/07/2018,Viper Earmuffs,68.25,7,HL880079-LG,477.75,07-Jul,2018
2.02E+11,New South Wales,19/07/2018,Bio Waste Kit,103.95,8,SB639038-MD,831.6,07-Jul,2018
2.02E+11,Victoria,20/07/2018,Hook Tie Down System,282.45,9,SB885432-XL,2542.05,07-Jul,2018
2.02E+11,Queensland,21/07/2018,Storage Cabinets,282.45,9,SB885432-XL,2542.05,07-Jul,2018
2.02E+11,Australian Capital Territory,22/07/2018,Hook Tie Down System,289.0965,6,CR064824-SM,1734.579,07-Jul,2018
2.02E+11,Northen Territory,23/07/2018,Spill Response Kit,282.45,6,SB885432-XL,1694.7,07-Jul,2018
2.02E+11,Queensland,24/07/2018,Viper Earmuffs,103.95,7,SB639038-MD,727.65,07-Jul,2018
2.02E+11,Tasmania,25/07/2018,Mineral Absorbent,289.0965,5,CR064824-SM,1445.4825,07-Jul,2018
2.02E+11,New South Wales,26/07/2018,Bio Waste Kit,282.45,7,SB885432-XL,1977.15,07-Jul,2018
2.02E+11,Victoria,27/07/2018,Spill Response Kit,289.0965,6,CR064824-SM,1734.579,07-Jul,2018
2.02E+11,Queensland,28/07/2018,Mineral Absorbent,68.25,5,HL880079-LG,341.25,07-Jul,2018
2.02E+11,New South Wales,01/01/2018,Mineral Absorbent,61.425,6,SB038557-SM,368.55,01-Jan,2018
2.02E+11,Victoria,02/01/2018,Storage Cabinets,240.45,5,TN139874-MD,1202.25,01-Jan,2018
2.02E+11,Queensland,03/01/2018,Viper Earmuffs,314.9895,6,BP110966-XL,1889.937,01-Jan,2018
2.02E+11,Australian Capital Territory,04/01/2018,Bio Waste Kit,103.929,6,BP252933-SM,623.574,01-Jan,2018
2.02E+11,Northen Territory,05/01/2018,Hook Tie Down System,103.95,6,SB639038-MD,623.7,01-Jan,2018
2.02E+11,Queensland,06/01/2018,Storage Cabinets,103.95,9,SB639038-MD,935.55,01-Jan,2018
2.02E+11,Tasmania,07/01/2018,Hook Tie Down System,103.929,5,BP252933-SM,519.645,01-Jan,2018
2.02E+11,New South Wales,08/01/2018,Spill Response Kit,68.25,5,HL880079-LG,341.25,01-Jan,2018
2.02E+11,Victoria,09/01/2018,Viper Earmuffs,68.25,7,HL880079-LG,477.75,01-Jan,2018
2.02E+11,Queensland,10/01/2018,Mineral Absorbent,68.25,7,HL880079-LG,477.75,01-Jan,2018
2.02E+11,Australian Capital Territory,11/01/2018,Bio Waste Kit,314.9895,5,BP110966-XL,1574.9475,01-Jan,2018
2.02E+11,Northen Territory,12/01/2018,Spill Response Kit,68.25,6,HL880079-LG,409.5,01-Jan,2018
2.02E+11,Queensland,13/01/2018,Mineral Absorbent,61.425,7,SB038557-SM,429.975,01-Jan,2018
2.02E+11,Tasmania,14/01/2018,Storage Cabinets,68.25,7,HL880079-LG,477.75,01-Jan,2018
2.02E+11,New South Wales,15/01/2018,Viper Earmuffs,189.525,5,BP459041-MD,947.625,01-Jan,2018
2.02E+11,Victoria,16/01/2018,Bio Waste Kit,103.929,5,BP252933-SM,519.645,01-Jan,2018
2.02E+11,Queensland,17/01/2018,Hook Tie Down System,289.0965,6,CR064824-SM,1734.579,01-Jan,2018
2.02E+11,Australian Capital Territory,18/01/2018,Storage Cabinets,103.95,8,SB639038-MD,831.6,01-Jan,2018
2.02E+11,Northen Territory,19/01/2018,Hook Tie Down System,240.45,8,TN139874-MD,1923.6,01-Jan,2018
2.02E+11,Queensland,20/01/2018,Spill Response Kit,240.45,8,TN139874-MD,1923.6,01-Jan,2018
2.02E+11,Tasmania,21/01/2018,Viper Earmuffs,240.45,6,TN139874-MD,1442.7,01-Jan,2018
2.02E+11,New South Wales,22/01/2018,Mineral Absorbent,68.25,6,HL880079-LG,409.5,01-Jan,2018
2.02E+11,Victoria,23/01/2018,Bio Waste Kit,588.2625,5,CR008525-LG,2941.3125,01-Jan,2018
2.02E+11,Queensland,24/01/2018,Spill Response Kit,314.9895,5,BP110966-XL,1574.9475,01-Jan,2018
2.02E+11,Australian Capital Territory,25/01/2018,Mineral Absorbent,68.25,7,HL880079-LG,477.75,01-Jan,2018
2.02E+11,Northen Territory,26/01/2018,Storage Cabinets,189.525,5,BP459041-MD,947.625,01-Jan,2018
2.02E+11,Queensland,27/01/2018,Viper Earmuffs,588.2625,6,CR008525-LG,3529.575,01-Jan,2018
2.02E+11,Tasmania,28/01/2018,Bio Waste Kit,240.45,6,TN139874-MD,1442.7,01-Jan,2018
2.02E+11,New South Wales,29/01/2018,Hook Tie Down System,189.525,5,BP459041-MD,947.625,01-Jan,2018
2.02E+11,Victoria,30/01/2018,Storage Cabinets,68.25,8,HL880079-LG,546,01-Jan,2018
2.02E+11,Queensland,31/01/2018,Hook Tie Down System,588.2625,5,CR008525-LG,2941.3125,01-Jan,2018
2.02E+11,Australian Capital Territory,01/02/2018,Spill Response Kit,103.95,5,SB639038-MD,519.75,02-Feb,2018
